0,1,2,3,4,5,6,7,8
-114.31520900000001,34.728256,Pilot\, RV Lanes; 85 Truck Parking Spots; #0211,928-764-2410,I-40 Exit 9; 14750 South Hwy 95,Lake Havasu City,AZ,86404,USA
-114.315693,34.724188,Love's\,  Propane; 85 Truck Parking Spots; #0386,928-764-1505,I-40 Exit 9; 14875 S. Hwy 95,Lake Havasu City,AZ,86404,USA
-110.967105,31.338690999999997,Pilot\, #1179,520-397-9751,330 N Mariposa Rd,Nogales,AZ,85621,USA
-111.99561399999999,33.414685,Pilot\, #1194,602-437-3208,3444 S 40th St,Phoenix,AZ,85040,USA
-112.2054,33.460873,Flying J\, RV Lanes/RV Dump/Propane; 185 Truck Parking Spots/RV Parking; #0611,623-936-1118,I-10 Exit 137; 6700 West Latham,Phoenix,AZ,85043,USA
-114.236411,33.661421999999995,Pilot\, 100 Truck Parking Spots; #0328,928-927-7777,I-10 Exit 17; 1201 West Main St,Quartzsite,AZ,85359,USA
-114.24128799999998,33.65724,Love's\,  Propane; 81 Truck Parking Spots; #0286,928-927-8570,I-10 Exit 17; 760 S. Quartzsite Blvd,Quartzsite,AZ,85346,USA
-110.962217,31.431246999999995,Pilot\, 90 Truck Parking Spots; #0279,520-377-0001,I-19 Exit 12; 769 East Frontage Rd,Rio Rico,AZ,85648,USA
-113.767781,33.633765999999994,Pilot\, 20 Truck Parking Spots; #1212,801-376-4256,I-10 Exit 45; 48286 Vicksburg Rd,Salome,AZ,85348,USA
-113.76791999999999,33.63354,AMBEST\,  Zip Travel Center 70 Truck Parking Spots,928-859-3165,I-10 Exit 45; 48286 Vicksburg Rd,Salome,AZ,85348,USA
-112.23908,33.457995000000004,Love's\,  RV Dump/Propane; 89 Truck Parking Spots; #0659,623-936-1037,I-10 Exit 135; 8313 Roosevelt St,Tolleson,AZ,85353,USA
-112.937243,33.494339000000004,Pilot\, Propane; 65 Truck Parking Spots; #1180,623-386-5386,I-10 Exit 94; 41112 W Indian School Rd,Tonapah,AZ,85354,USA
-112.7841,33.4597,TA\,  Shell 407 Truck Parking Spots; #0225,623-386-6443,I-10 Exit 103; 1010 N. 339th Avenue,Tonopah,AZ,85354,USA
-110.87371399999999,32.125681,Pilot\, RV Lanes/RV Dump/Propane; 80 Truck Parking Spots; #0593,520-663-3348,I-10 Exit 268; 5570 East Travel Plaza Way,Tucson,AZ,85756,USA
-110.803626,32.084286999999996,Pilot\, Express Propane; 9 Truck Parking Spots; #1178,520-207-7876,I-10 Exit 273; 9255 S Rita Rd,Tucson,AZ,85747,USA
-113.61028,34.699416,Pilot\, #1193,928-764-2255,18183 S hwy 93,Wikieup,AZ,85360,USA
-109.8479,32.2688,TA\,  Shell RV Dump; 229 Truck Parking Spots; #0226,520-384-5311,I-10 Exit 340; 1501 North Fort Grant Road,Willcox,AZ,85643,USA
-112.19358700000001,35.262781,Love's\,  RV Dump/Propane; 90 Truck Parking Spots; #0553,928-635-9958,I-40 Exit 163; 1055 N Grand Canyon Blvd,Williams,AZ,86046,USA
-110.67405900000001,35.016021,Flying J\, RV Lanes/RV Dump/Propane; 250 Truck Parking Spots/RV Parking; #0612,928-289-2081,I-40 Exit 255; 400 Transcon Ln,Winslow,AZ,86047,USA
-112.51411100000001,33.765454999999996,Pilot\, #1192,623-388-9200,31120 N Hwy 60,Wittman,AZ,85361,USA
-114.44490900000001,32.673458000000004,Flying J\, RV Lanes/Propane; 100 Truck Parking Spots; #0505,928-342-2696,I-8 Exit 12; 10800 North Frontage Rd,Yuma,AZ,85367,USA
-114.58278999999999,32.686253,Love's\,  RV Dump/Propane; 80 Truck Parking Spots; #0349,928-341-9100,I-8 Exit 3; 2931 E. Gila Ridge Rd,Yuma,AZ,85365,USA
-122.26543000000001,49.02003,Flying J\,  Cardlock 80 Truck Parking Spots; #0827,604-855-0665,929 Coutts Way & Sumas Way,Abbotsford,BC,V2S 4N2,CAN
-122.95576799999999,49.170021999999996,Flying J\, 4 Truck Parking Spots; #0798,604-521-4445,1291 Cliveden Ave,Annacis Island Delta,BC,V5M 6G4,CAN
-122.006417,49.146877,Flying J\, 21 Truck Parking Spots; #0799,604-795-7265,Hwy 1 Exit 116; 7970 Lickman Road,Chilliwack,BC,V2R 1A9,CAN
-115.75173999999998,49.53604,Flying J\,  Cardlock 80 Truck Parking Spots; #0828,250-426-3763,2209 Theatre Rd,Cranbrook,BC,V1C 4H4,CAN
-116.523547,49.112525,Flying J\,  Cardlock 80 Truck Parking Spots; #0829,250-428-7131,1411 Northwest Blvd,Creston,BC,V0B 1G6,CAN
-120.28011299999999,55.78186899999999,Flying J\,  Cardlock 80 Truck Parking Spots; #0830,250-782-3111,1725 Alaska Ave,Dawson Creek,BC,V1G 1P5,CAN
-121.48269499999999,49.365201,Flying J\, 50 Truck Parking Spots; #0861,604-860-4601,Hwy 1 Exit 168; 63100 Flood Hope Rd,Hope,BC,V0X 1L2,CAN
-115.11591100000001,49.300168,Pilot\, #1197,250-429-3816,1950 Hwy 3,Jaffray,BC,V0B 1T0,CAN
-122.879016,49.230244,Flying J\,  Cardlock 80 Truck Parking Spots; #0832,604-522-6511,Hwy 1 Exit 40; 24 Braid St,New Westminster,BC,V3L 3P3,CAN
-122.73472,53.876661,Flying J\,  Cardlock RV Dump; 5 Truck Parking Spots; #0801,250-563-1677,4869 Continental Way,Prince George,BC,V2N 5S5,CAN
-118.4148405,35.1275617,Flying J\, RV Lanes/RV Dump; 99 Truck Parking Spots/RV Parking; #1094,661-823-1049,Hwy 58 Exit 151; 1668 E Tehachapi Blvd,Tehachapi,CA,93561,USA
-118.9412,34.992,TA\,  Shell RV Dump; 221 Truck Parking Spots; #0239,661-858-2804,I-5 Exit 219; 5552 Wheeler Ridge Rd.,Arvin,CA,93203,USA
-119.18764399999999,35.531807,Flying J\, RV Lanes/RV Dump/Propane; 250 Truck Parking Spots/RV Parking; #0613,661-392-5300,Hwy 99 Exit Merced Ave.; 17047 Zachary Ave,Bakersfield,CA,93308,USA
-119.91301000000001,36.83209,AMBEST\,  E-Z Trip,661-764-5218,I-5 Exit 253; N Golden State Blvd,Bakersfield,CA,93312,USA
-117.08715600000001,34.854721000000005,Pilot\, 30 Truck Parking Spots; #0282,760-253-2861,I-15 Exit 178; 2591 Commerce Pkwy,Barstow,CA,92311,USA
-117.080693,34.854121,Flying J\, RV Lanes/RV Dump/Propane; 171 Truck Parking Spots/RV Parking; #0614,760-253-7043,I-15 Exit 178; 2611 Fisher Rd,Barstow,CA,92311,USA
