app_name,app_version,label_title,review,store_rating
copilot-gps-navigation,10.11.1.80,GPS,I was not able to use this purchase on my trip to Ireland because I couldn’t figure out how to use it.  Therefore it was a total waste of money and time.  I would not recommend this to anyone who isn’t highly tech savvy.,1
copilot-gps-navigation,10.11.1.80,Useless in Germany,"We bought this app to help us navigate in Germany.  However, it was useless because it pronounced German street names as English words, so we couldn’t understand what it was saying. In contrast, the GPS that came with our rental car (a welcome perk because the car we reserved wasn’t available) spoke in English but pronounced the street names properly (strasse with the last e pronounced). The CoPilot app was a complete waste of money!",1
copilot-gps-navigation,10.11.1.80,Best trip planner I’ve found,"I am a pilot car driver. My job takes me all over the United States with oversized loads. It is imperative that we follow the route assigned.  This app makes it simple to plan a route and make changes.  At first I had some difficulty but it was only my experience which was causing the issues. After a short learning period I was able to plan a route in a matter of minutes.
There are a couple of requests which would be very useful.

 #1   I would like to have a measuring tool.   Sometimes I need to know how far it is to my next waypoint. Or from one waypoint to another.

#2  It would be super handy to be able to share a trip I have saved with another copilot user.  If there are multiple people taking the same route this would ensure all users have the exact same route programmed.

Thanks to the developers of this super fantastic APP.

Kevin",5
copilot-gps-navigation,10.11.1.80,Don’t waste your money,Worst gps I have tried for RVs. Can’t even locate Nashville TN.  Route planning is useless,2
copilot-gps-navigation,10.11.1.80,Route recalculate,"It would be nice if you had the option of turning off the recalculate so it wouldn’t recalculate every time you come off route, other than that I think it’s a pretty good app",4
copilot-gps-navigation,10.11.1.80,Used for years,"I’ve reloaded it on many iPhone upgrades with no issues.  It also works well on my Android tablet.  

Best feature hands down is certified speedometer. Not promoted as such but it always matches the traffic warning lights along the roadway. This is particularly important for me as a commercial trucker. 

I paid $150 for the trucker version and rely on it daily along with Google Maps and Google Earth to do logistic planning. 

I also use Active Traffic. 

Five stars!",5
copilot-gps-navigation,10.11.1.80,Needs so many improvements,"Off line maps of the world, that’s the good part. And not much else. Login never works on certain device. You can’t copy paste the long password. You can’t make it visible either so you don’t know if you have typed it correct either. You can’t use copied address. Constantly bugs me about the notifications to turn on....",2
copilot-gps-navigation,10.11.1.80,Disappointed,The description was not clear that it was a trial offer. :-/,1
copilot-gps-navigation,10.11.1.80,Great app for Truck routing,I’m like the features in this app and find it very helpful and intuitive in bad traffic situations. My only recommendation would be to incorporate some form of weather info and radar overlay. Other than that I love it.,5
copilot-gps-navigation,10.11.1.80,Ehh.,"Lots of room for improvement: map only zooms out so much and you can’t really see what’s up ahead of you, gps will continually try to reroute you the same way it was taking you even if there is a faster way found by another source. Map does give a few options for routes but doesn’t let you customize if you want to avoid an area or take a certain route, when you select avoid it will circle you around the avoided area first and then bring you right back to where you were trying to avoid. Would be nice if it calculated toll cost like Rand McNally, could be a lot simpler and easier to find points of interest (truck stops, rest areS etc)",1
copilot-gps-navigation,10.11.1.80,Always great,Have used it for years. Always updating. Good support,5
copilot-gps-navigation,10.11.1.80,Will not refund money,"Routing was awful, contacted Copilot they told me Apple would refund, not true ! I wasted $29.00 !",1
copilot-gps-navigation,10.11.1.80,Ha!!!,"Let’s see... I tested this app for my 18 wheeler and my personal car. Both versions had several things wrong. Mostly speeds were wrong. With my personal car version? It would always try to make me enter truck parking areas and exit interstates. Only to tell me to immediately get back onto the interstates. “How stupid can a developer be?!?”, I thought to myself. Well, with the way this app functions? The answer is... A developer can be just as stupid as the amount of money he/she may try to steal from people, for a horrible app. Just like this one. Do not waste your money on this app.",2
copilot-gps-navigation,10.11.1.80,Works.,"As a pro truck driver I bought this app for $150 a few years ago, and it worked for my purpose. Customer service is incredibly slow to respond, which is why I give three out of five stars, but otherwise a good app for truckers.",3
copilot-gps-navigation,10.11.1.80,NOT RELIABLE FOR MOTORHOME!,"Put us on The Blue Ridge Parkway. I know that Parkway and I know you can’t take a 37 foot motorhome, tunnels are too low. Never using it again!  I would like my money refunded to me.",1
copilot-gps-navigation,10.11.1.80,Google search not supported,"I purchased this app when google address search was supported.
But I hated the most when they removed google search engine.
I don’t recommend it anymore.",1
copilot-gps-navigation,10.11.1.80,No longer a truck app !,"25 years. I’ve started with pc miler by ALK then came co-pilot I used on the laptop. Then finally the phone app. I ran Rand Mc. along side Co-pilot and would laugh at how Rand was trying to route me through cities and town to get to my destination. Co-pilot was way better maybe taking you to the next exit or even using the bypass around major cities. Those days are gone now I guess. 

It doesn’t post the truck speed on split speed limits. 

It doesn’t notify you of scales coming up. 

I can’t find save current location to add to address folder. 

You need internet to find fuel stops. 

And routing has become frustrating. Practical is a joke anymore. 

I’m staying with Co-pilot because the traffic alert is great and I paid the 300+ years ago for the truck app. I will continue to use it as a backup to the Rand. But I can no longer recommend Co-pilot as a truck app especially since they are asking for a monthly fee. 

Should they return to improve this app and start adding useful features for trucks and truck navigation ie: weather and construction warnings scales and truck fuel stops in route like what is on the ALK app. then I would gladly change my rating and review. 
Co-pilot has lost their way.",1
copilot-gps-navigation,10.11.1.80,Not a happy user,"So i bought the app to help stay away from low bridges since I picked up a new 5th wheeler. First big trip was to West Point NY from Plymouth MA. The app took me through old trucking routes and numerous towns, lots of light etc. to make matters worse, to apps wanted me to take a road that was inaccessible from the highway. I had to use google maps to get me there. 

From there, I drove to Maryland and Virginia and back without a problem until I reached Connecticut. Again, instead of staying on Route 95, it took me through small towns again....

My last trip was to the western part of Massachusetts. The app Was working fine until it took me off the highway onto the main drag, had me circle around through some neighborhood a 5th wheeler shouldn’t be and right back to the exit I took and back on the highway. 

Pat but not least, it doesn’t recognize my home address....

Dave",1
copilot-gps-navigation,10.11.1.80,Bad directions,Traveling to Disney the app took me off the Interstate and then right back on twice. Put me in a dangerous situation with a 31’ travel trailer. No response from support. No refund options. DON’T BUY THIS APP.,1
copilot-gps-navigation,10.11.1.80,Almost Great,"This app is almost great, some have complained about things they could have fixed in settings, I say learn the app and it’s features/settings before giving a negative review. I am a pilot and use navigation programs for aircraft and they are excellent as you would expect, this app is close but still needs just a bit more work to make it a bit more user friendly. Making a rout you want instead of what the computer wants can be a challenge until you learn the idiosyncrasies of the app. For those who complain about it directing them to a closed road or a low bridge I say this is a driving aid, you are the driver, stay alert stay in front of your vehicle.",4
copilot-gps-navigation,10.11.1.80,Missing one big feature,"I really like the app, but one feature I can’t believe it doesn’t have is the ability to drop a pin to navigate to. I drive to a lot of wildlife areas and boat launches that I can find on the map, but I have no way to navigate to that location. I need to be able to drop a pin on the spot and have CoPilot take me there. Add this feature and it would be 5 stars !!!",4
copilot-gps-navigation,10.11.1.80,Need Maps for Japan,"I’ve been using this app for years, we are moving to Japan but it’s not on the list of the world map. I would really like to use this app there.",4
copilot-gps-navigation,10.11.1.80,Is developer open to user comments for improvements?,"I drive a truck and I am frequently in the northeast where there are many low bridges and truck restriction routes. So I need quality info. So far I find Copilot clumsy. I still run Google Maps simultaneously to ensure I take the right or best route. I got a ticket in NY as approached the Midtown Tunnel after Copilot directed me to miss my exit from the Long Island Expressway to the BQE because it changed my route without asking me or alerting me. This mistake sent me toward the tunnel, which I knew I could not take. I was looking for a way out. Fortunately the cops helped me out of a jam, but gave me a ticket in the process. 

Here are my specific issues. 
Co pilot problems 

1. Changes route without asking me or letting me know 
2. Highway and city names too small to read. Does not get larger when I zoom in. 
3. Has routed me on some routes that are clearly not truck routes and physically impossible for a truck (and yes, my profile has 53’ trailer with 13’6”  height).
4. Algorithms find very convoluted routes that are inefficient, jump off highways and add unnecessary miles and time, and finds routes that go right through traffic with lots of intersections and lights. 
5. Often picks a route in the opposite direction with a u-turn to get back on track. 
6. Does not know how to control the play/pause function when connected to radio/speakers. Often goes silent. 
Causes me to miss turns/exits because of #1 above. 
7. Too many colors and not clearly identified routes, worse in night mode. Look at Google and iMaps. Very clear. 
8. When I try to force it to take a specific route, rather than going direct through the desired route, it goes through the original route, then back-tracks and adds lots of twists. 
I would appreciate info as to what developer is doing to fix these problems, or I have search for another app, especially since I am paying for this Trucker GPS. I really need an effective and efficient trucker GPS, especially in the northeast where getting off route can be very dangerous. If this one doesn’t get fixed, I have to search for another. Paying $10 a month for an app that I have to constantly second guess doesn’t cut it.",2
copilot-gps-navigation,10.11.1.80,Great app and easy to use!,"It’s a very easy to use app, the directions are pretty well right on also, just use a little common sense and it’s a great tool to have in the truck at all times! Highly recommend 🤔",5
