,uid,latitude,longitude,name,city,st,zip,cat,elev,comments,height
3801,131593,37.84674,-82.00832,Low Clearance,Logan,WV,25601,LC11,,11 - 10 height clearance (136),11.1
3802,131595,39.45692,-77.96036,Low Clearance,Martinsburg,WV,25404,LC10,,10 - 0 height clearance (136),10.0
3803,131596,39.52873,-77.89992,Low Clearance,Martinsburg,WV,25404,LC12,,12 - 10 height clearance (136),12.1
3804,131603,39.661073,-79.99350600000002,Low Clearance,Morgantown,WV,26501,LC12,,12 - 4 height clearance (136),12.4
3805,131611,38.126807,-81.26479599999998,Low Clearance,Mt Carbon,WV,25139,LC15,,15 - 0 height clearance,15.0
3806,131612,39.637067,-80.863025,Low Clearance,New Martinsville,WV,26155,LC13,,13 - 8 height clearance,13.8
3807,131615,38.427338,-82.223725,Low Clearance,Ona,WV,25545,LC15,,16 - 3 height clearance,16.3
3808,131623,39.2742,-81.56045999999998,Low Clearance,Parkersburg,WV,26101,LC11,,11 - 1 height clearance (136),11.1
3809,131626,37.312351,-81.028581,Low Clearance,Princeton,WV,24740,LC11,,11 - 4 height clearance (136),11.4
3810,131627,37.314251,-81.039631,Low Clearance,Princeton,WV,24739,LC11,,11 - 6 height clearance (136),11.6
3811,131628,37.31503,-81.052861,Low Clearance,Princeton,WV,24740,LC11,,11 - 8 height clearance (136),11.8
3812,131629,37.316126,-81.040961,Low Clearance,Princeton,WV,24739,LC11,,11 - 6 height clearance (136),11.6
3813,131630,42.270298,-104.737562,Low Clearance,Gurnsey,WY,82214,LC14,,14 - 2 height clearance,14.2
3814,131631,37.33531,-80.95054,Low Clearance,Princeton,WV,24740,LC9,,9 - 6 height clearance (136),9.6
3815,131632,37.39845,-81.13464,Low Clearance,Princeton,WV,24740,LC13,,13 - 10 height clearance,13.1
3816,131642,39.530509,-80.116759,Low Clearance,Rivesville,WV,26588,LC13,,13 - 10 height clearance,13.1
3817,131643,38.094309,-81.24849,Low Clearance,Robson,WV,25173,LC11,,11 - 6 height clearance (136),11.6
3818,131644,38.090087,-81.248846,Low Clearance,Robson,WV,25173,LC13,,13 - 11 height clearance,13.11
3819,131645,37.777787,-80.394421,Low Clearance,Ronceverte,WV,24970,LC9,,9 - 10 height clearance (136),9.1
3820,131651,39.46337,-80.51519,Low Clearance,Smithfield,WV,26437,LC14,,14 - 0 height clearance,14.0
3821,131655,39.457,-78.69751,Low Clearance,Springfield,WV,26763,LC14,,14 - 0 height clearance,14.0
3822,131670,37.435512,-81.586662,Low Clearance,Welch,WV,24801,LC9,,9 - 0 height clearance (136),9.0
3823,131671,40.07548,-80.71594,Low Clearance,Wheeling,WV,26003,LC13,,13 - 6 height clearance,13.6
3824,131682,37.767653,-80.356023,Low Clearance,White Sulphur Springs,WV,24986,LC14,,14 - 2 height clearance,14.2
3825,131685,37.67092,-82.27532,Low Clearance,Williamson,WV,25661,LC12,,12 - 6 height clearance (136),12.6
3826,131717,42.85502,-106.31215,Low Clearance,Casper,WY,82601,LC11,,11 - 4 height clearance (136),11.4
3827,131773,42.76457,-105.38687,Low Clearance,Douglas,WY,82633,LC11,,11 - 0 height clearance (136),11.0
3828,131774,42.781409,-105.515572,Low Clearance,Douglas,WY,82633,LC12,,"12 - 11 height clearance, reported to have been rebuilt to 15ft but not confirmed (136)",12.11
3829,131892,41.78809,-107.23244,Low Clearance,Rawlins,WY,82301,LC12,,12 - 0 height clearance (136),12.0
3830,131931,43.44344,-108.16983,Low Clearance,Shoshoni,WY,82649,LC14,,"14 - 0 height clearance, northbound, southbound",14.0
3831,131942,43.65046,-108.20314,Low Clearance,Thermopolis,WY,82443,LC12,,12 - 0 height clearance (136),12.0
3832,184025,35.707771,-77.90851590000003,Low Clearance,Wilson,NC,27893,LC13,,13 - 8 height clearance,13.8
