Unnamed: 0,cat,city,comments,elev,height,latitude,longitude,name,st,uid,zip
139.0,LC13,Auburn,13 - 7 height clearance,,13.7,38.90384,-121.0662,Low Clearance,CA,103672.0,95603
140.0,LC11,Auburn,11 - 3 height clearance (136),,11.3,38.92083,-121.0928,Low Clearance,CA,103673.0,95603
141.0,LC15,Berkeley,15 - 1 height clearance,,15.1,37.84908,-122.29563,Low Clearance,CA,103773.0,94710
142.0,LC14,Burbank,14 - 6 height clearance,,14.6,34.172304,-118.301973,Low Clearance,CA,103822.0,91502
143.0,LC13,Caliente,13 - 11 height clearance,,13.11,35.28751,-118.62700000000001,Low Clearance,CA,103844.0,93518
144.0,LC15,Campbell,15 - 2 height clearance,,15.2,37.292809999999996,-121.93749,Low Clearance,CA,103855.0,95008
145.0,LC15,Campbell,15 - 1 height clearance,,15.1,37.29453,-121.93861000000001,Low Clearance,CA,103856.0,95008
146.0,LC12,Claremont,12 - 0 height clearance (136),,12.0,34.204127,-117.676776,Low Clearance,CA,103920.0,91711
147.0,LC15,Commerce,15 - 0 height clearance,,15.0,34.00991,-118.15852,Low Clearance,CA,103950.0,90040
148.0,LC14,Concord,14 - 4 height clearance,,14.4,37.96422000000001,-122.0308,Low Clearance,CA,103956.0,94518
149.0,LC13,Courtland,13 - 0 height clearance (136),,13.0,38.29233,-121.63058000000001,Low Clearance,CA,103998.0,95615
150.0,LC13,Davis,13 - 6 height clearance,,13.6,38.54139,-121.73958999999999,Low Clearance,CA,104014.0,95616
151.0,LC15,El Monte,15 - 0 height clearance,,15.0,34.06123,-118.0126,Low Clearance,CA,104075.0,91732
152.0,LC13,El Monte,13 - 10 height clearance,,13.1,34.0633,-118.01562,Low Clearance,CA,104076.0,91732
153.0,LC15,Fremont,15 - 0 height clearance,,15.0,37.48768,-121.93189,Low Clearance,CA,104193.0,94536
154.0,LC14,Fremont,14 - 0 height clearance,,14.0,37.55969,-121.95565,Low Clearance,CA,104194.0,94536
